N;Sentence1;Sentence2;HR(Human Rating);SS
114;I am sorry but I can't go out as I have a heap of work to do.;I’ve a heap of things to finish so I can’t go out I’m afraid.;3.6;0.72
115;The responsible man felt very guilty when he crashed into the back of someone's car.;A slow driver can be annoying even though they are driving safely.;0.88;0.75
116;Get that wet dog off my brand new white sofa.;Make that wet hound get off my white couch –I only just bought it.;3.59;0.86
117;He fought in the war in Iraq before being killed in a car crash.;The prejudice I suffered whilst on holiday in Iraq was quite alarming.;0.55;0.65
118;The cat was hungry so he went into the back garden to find lunch.;The hen walked about in the yard eating tasty grain.;1.2;0.82
119;My bedroom wall is lemon coloured but my mother says it is yellow.;Roses can be different colours, it has to be said red is the best though.;0.68;0.77
120;Would you like to drink this wine with your meal?;Will you drink a glass of wine while you eat?;3.56;0.65
121;Roses can be different colours, it has to be said red is the best though.;Roses come in many varieties and colours, but yellow is my favourite.;2.83;0.9
122;Flies can also carry a lot of disease and cause maggots.;I dry my hair after I wash it or I will get ill.;0.12;0.28
123;Could you climb up the tree and save my cat from jumping please?;Can you get up that tree and rescue my cat otherwise it might jump?;3.83;0.34
124;The pleasure that I get from studying, is that I learn new things.;I have a doubt about this exam, we never got to study for it.;0.74;0.76
125;The perpetrators of war crimes are rotten to the core.;There are many global issues that everybody should be aware of, such as the threat of terrorism.;0.95;0.91
126;The damp was mostly in the very corner of the room.;The young lady was somewhat partially burnt from the sun.;0.11;0.31
127;We often ran to school because we were always late.;I knew I was late for my class so I ran all the way to school.;3.1;0.85
128;I hope you're taking this seriously, if not you can get out of here.;The difficult course meant that only the strong would survive.;0.5;0.87
129;The shores or shore of a sea, lake or wide river is the land along the edge of it.;An autograph is the signature of someone famous which is specially written for a fan to keep.;0.11;0.43
130;I bought a new guitar today, do you like it?;The weapon choice reflects the personality of the carrier.;0.16;0.34
131;Iam so hungry I could eat a whole horse plus dessert.;I could have eaten another meal, I'm still starving.;3.06;0.85
